atm_id,location_name,location_type,terminal_type,distance_from_branch_miles,cash_capacity_dollars,cash_tolerance,emergency_multiplier,revenue_impact_per_hour,tax_service_proximity
ATM001,Downtown Main St Branch Lobby,Urban,Local,2,120000,Medium,2.5,210,False
ATM002,Galleria Mall Level 1,Mall,Local,8,110000,Medium,2.5,240,False
ATM003,IAH Airport Terminal A,Airport,Local,18,145000,Low,2.5,420,False
ATM004,IAH Airport Terminal B,Airport,Local,18,145000,Low,2.5,420,False
ATM005,Hobby Airport Concourse,Airport,Local,11,145000,Low,2.5,420,False
ATM006,NRG Stadium North Gate,Stadium,Local,6,140000,Low,2.5,380,False
ATM007,Tunica Casino MS,Casino,Over The Road,142,235000,Zero,4.0,850,False
ATM008,Laughlin Casino NV,Casino,Over The Road,156,235000,Zero,4.0,850,False
ATM009,Biloxi Casino MS,Casino,Remote,92,235000,Zero,3.0,850,False
ATM010,Shreveport Casino LA,Casino,Over The Road,144,235000,Zero,4.0,850,False
ATM011,Texas Medical Center Pavilion,Hospital,Local,4,85000,Low,2.5,290,False
ATM012,Heights Retail Plaza,Retail,Local,7,100000,High,2.5,120,True
ATM013,Montrose Corner Store,Retail,Local,5,80000,High,2.5,120,False
ATM014,Midtown Urban Market,Urban,Local,3,120000,Medium,2.5,210,False
ATM015,EaDo Warehouse District,Urban,Local,4,120000,Medium,2.5,210,False
ATM016,River Oaks Shopping Center,Retail,Local,9,80000,High,2.5,120,False
ATM017,Memorial City Mall,Mall,Local,14,110000,Medium,2.5,240,False
ATM018,Katy Mills Mall,Mall,Remote,28,110000,Medium,3.0,240,False
ATM019,Gulfgate Center,Retail,Local,8,100000,High,2.5,120,True
ATM020,Pasadena Strip Center,Retail,Local,16,80000,High,2.5,120,False
ATM021,Baytown Plaza,Retail,Remote,29,80000,High,3.0,120,False
ATM022,Sugar Land Town Square,Urban,Local,22,120000,Medium,2.5,210,False
ATM023,The Woodlands Market,Urban,Remote,31,120000,Medium,3.0,210,False
ATM024,Conroe Outlet Center,Retail,Remote,42,80000,High,3.0,120,False
ATM025,Spring Crossing Plaza,Retail,Remote,26,100000,High,3.0,120,True
ATM026,Humble Atascocita Center,Retail,Local,24,80000,High,2.5,120,False
ATM027,Pearland Parkway Shops,Retail,Local,18,80000,High,2.5,120,False
ATM028,League City Marketplace,Retail,Remote,27,80000,High,3.0,120,False
ATM029,Galveston Seawall Kiosk,Tourist,Remote,52,80000,Medium,3.0,190,False
ATM030,Galveston Strand District,Tourist,Remote,53,80000,Medium,3.0,190,False
ATM031,Texas City Center,Retail,Remote,41,80000,High,3.0,120,False
ATM032,Beaumont Medical Plaza,Hospital,Remote,84,85000,Low,3.0,290,False
ATM033,Beaumont Eastex Plaza,Retail,Remote,86,100000,High,3.0,120,True
ATM034,Port Arthur Center,Retail,Over The Road,102,80000,High,4.0,120,False
ATM035,Lufkin Crossroads,Retail,Over The Road,118,80000,High,4.0,120,False
ATM036,College Station Northgate,Urban,Remote,97,120000,Medium,3.0,210,False
ATM037,Brenham Town Center,Retail,Remote,72,80000,High,3.0,120,False
ATM038,Lake Charles Casino LA,Casino,Over The Road,138,235000,Zero,4.0,850,False
ATM039,Huntsville Square,Retail,Remote,70,80000,High,3.0,120,False
ATM040,Bay City Center,Retail,Remote,81,80000,High,3.0,120,False
ATM041,Rosenberg Plaza,Retail,Remote,34,100000,High,3.0,120,True
ATM042,Angleton Courthouse Square,Retail,Remote,44,80000,High,3.0,120,False
ATM043,Lake Jackson Center,Retail,Remote,54,80000,High,3.0,120,False
ATM044,Cypress Towne Lake,Retail,Remote,27,80000,High,3.0,120,False
ATM045,Tomball Main Street,Retail,Remote,33,80000,High,3.0,120,False
ATM046,Kingwood Town Center,Retail,Remote,26,80000,High,3.0,120,False
ATM047,Victoria Mall,Mall,Over The Road,125,110000,Medium,4.0,240,False
ATM048,El Campo Plaza,Retail,Remote,76,80000,High,3.0,120,False
ATM049,Palacios Waterfront,Tourist,Over The Road,110,80000,Medium,4.0,190,False
ATM050,Westchase Office Tower,Office,Local,12,70000,High,2.5,160,False
